id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2881305853,0.45173047905746844,0.5538845884484813,0.21337089047843857,-39.51307847082495,-39.51307847082495,-39.51307847082495,18.849840255591054,0.589781110280513,2029661.9978999998,3441381.8322099997,0.589781110280513,82.92234081707768,-0.003510543763289695,-0.005343397498425384,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.11990660257494895,neutral,1.0
aave,AAVE,2806843005,0.28102119300528583,0.32719549819749993,0.17328114755678634,-43.516363034238246,-48.05176808890527,-51.692993736691115,19.726027397260275,0.7199734154825707,28190.513186057175,39154.93625158667,0.7199734154825707,108.3769865960857,1.7306561512392333,1.1087430728926166,mexc,0.0,0.1870867933223117,0.1870867933223117,0.0,gt2b,0.0,0.0,0.17337384667033995,neutral,1.0
bitget-token,BGB,2540395005,0.5876642387204264,0.7365722584578478,0.24021219266644306,-36.28685029872935,-36.28685029872935,-55.10266606874383,7.397260273972603,0.6924628662398515,445026.38409484277,642671.83959103,0.6924628662398515,67.6993726149667,0.9144966801421719,0.5011791371337198,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.31037772290446475,neutral,1.0
memecore,M,2359980258,0.003408357706397033,0.0006178104389829389,0.009919634663696587,-49.28366050193461,-49.28366050193461,,44.666666666666664,1.555693439535363,654327.4026451142,420601.7625429734,1.555693439535363,247.25423728813558,0.253890785023444,0.1663912129416382,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.6150761618234729,neutral,1.0
okb,OKB,2289230942,-0.07008012389512291,-0.15247986179394754,0.12218593120213454,-51.98733515723464,-52.342905464309375,-52.342905464309375,72.87671232876713,0.7790747957337589,125749.56265457142,161408.84462336666,0.7790747957337589,129.59045813840945,0.951594261852584,0.5182176932802981,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.10884081891067846,neutral,1.0
internet-computer,ICP,2245038332,-0.17004396964564114,-0.25691093050234004,0.03264560568665626,-53.83156720580033,-53.83156720580033,-72.79837013669821,8.21917808219178,0.17841420554947598,2349726.3390028575,13170063.066257667,0.17841420554947598,210.10031131096505,1.4099620926185727,0.8819032244349004,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.7011167796790989,neutral,1.0
aster-2,ASTER,2229993563,-0.0856497963211317,-0.1606289676788663,0.08930160351358234,-52.131246757738204,,,33.33333333333333,0.5988526919160502,71566.01239285714,119505.20279683334,0.5988526919160502,160.93626621545405,0.31456062421594444,0.1564624427369388,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.275718819437524,neutral,1.0
ethereum-classic,ETC,2134979078,0.549333531842983,0.6813529323208597,0.24128826406127055,-37.262012692656384,-43.92220421393841,-63.85479237398799,1.643835616438356,0.32979018375964697,1756475.9684757132,5326040.782814334,0.32979018375964697,63.407407407407405,1.420996966598605,0.9236594788965025,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.03069611381802423,neutral,1.0
ethena,ENA,2072263509,-0.6475688153159335,-0.906251024527635,-0.043976993821963795,-65.29878502355567,-65.44444444444444,-77.85601265822784,10.95890410958904,0.7193492703436157,8775914.024824427,12199795.546650635,0.7193492703436157,246.031746031746,1.9100278582388266,1.3147601011631949,mexc,0.0,0.5378408317388568,0.5378408317388568,0.0,gt2b,0.0,0.0,-0.3115157721521006,neutral,1.0
pi-network,PI,2058385205,0.6735734268453286,0.8652327742931459,0.22636828280042176,-34.014730999146025,-61.81312741312741,-91.0364653381717,16.666666666666664,0.908583582909313,52548.6305639,57835.76938033334,0.908583582909313,88.67126529379183,-0.09189445931021957,-0.05635036015724986,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.560975212407401,neutral,1.0
pepe,PEPE,1944565583,-0.4631282939645385,-0.6739224008500504,0.02872462210165591,-61.19590741361959,-67.34881095194412,-70.9359296482412,2.2364217252396164,0.6929043511814894,162035.60350047486,233849.88595349947,0.6929043511814894,189.34724581412277,-0.06169227054428554,-0.08270762542651008,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.2725634893839555,neutral,1.0
pump-fun,PUMP,1717516241,-0.6848905693808967,-0.9600814944724152,-0.04277841083401995,-66.24942049142327,-66.24942049142327,,15.107913669064748,0.5554323330676714,5703239.64402991,10268108.83070261,0.5554323330676714,241.70297029702974,0.5523896301876741,0.31723240891521665,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.4716698569073384,neutral,1.0
