id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2839456266,0.4454830306527293,0.5404978642182654,0.22378175233314507,-40.563380281690144,-40.563380281690144,-40.563380281690144,16.560509554140125,0.5470064722765754,1767371.1341142857,3230987.609266667,0.5470064722765754,82.92234081707768,-0.1900613069384809,0.0015127209379197943,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.10768731570609469,neutral,1.0
aave,AAVE,2837347726,0.32733685894404113,0.38760437621222993,0.186712651984934,-43.33001961445602,-47.880387283667424,-51.53362558637171,20.82191780821918,0.7309344595146156,28693.34084114289,39255.695866626666,0.7309344595146156,108.3769865960857,1.731965829659149,1.108911688824145,mexc,0.0,0.13203723102648476,0.13203723102648476,0.0,gt2b,0.0,0.0,0.19848878560596098,neutral,1.0
near,NEAR,2370238476,0.3985126211538585,0.47140654489081,0.22842679910097163,-41.81360201511335,-41.81360201511335,-77.04347826086956,1.095890410958904,0.3981094871277087,453570.601625714,1139311.210336,0.3981094871277087,74.40966501922021,1.7452561858547662,1.0704531245948887,mexc,0.8987782694033795,0.8987782694033795,0.8987782694033795,3.5,gt2b,0.0,0.0,0.28088688749398616,neutral,1.0
okb,OKB,2210999879,-0.09502320385858637,-0.19008475874368738,0.12678709087331594,-53.78342416244726,-54.12569306412804,-54.12569306412804,71.78082191780823,0.7642687813068695,121144.30229485715,158510.07558846663,0.7642687813068695,129.59045813840945,0.951470983998546,0.5190593671897676,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.1326232458357821,neutral,1.0
ethena,ENA,2177954679,-0.5295182238164479,-0.7421890469144447,-0.03328630325445543,-63.773865608727995,-63.92592592592592,-76.88291139240506,15.342465753424658,0.7513942532241207,9086878.514938999,12093356.4183497,0.7513942532241207,246.031746031746,1.9116103022992752,1.3142812998424398,mexc,0.0,0.37958325595669407,0.37958325595669407,0.0,gt2b,0.0,0.0,-0.36216495516812175,neutral,1.0
memecore,M,2173485301,-0.17861568371342623,-0.2538346662176337,-0.003104724536942226,-54.93699194206808,-54.93699194206808,,43.04635761589404,1.5356556090194222,665914.6444720287,433635.4066373267,1.5356556090194222,247.25423728813558,-0.20756059525024562,-0.3114598696790229,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.44255371877278243,neutral,1.0
internet-computer,ICP,2162214642,-0.18971383301453187,-0.28582674024532484,0.034549617190651694,-55.51589514779699,-55.51589514779699,-73.79074658254468,6.8493150684931505,0.16688987734911842,2199371.454312857,13178579.128031667,0.16688987734911842,210.10031131096505,1.4092678741837983,0.8816039755206716,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.7021216961619691,neutral,1.0
ethereum-classic,ETC,2121622956,0.5595548751020828,0.6903754349557825,0.2543069021101172,-37.85131459655484,-44.44894651539708,-64.19430660746931,1.643835616438356,0.31246967154216165,1642796.129177142,5257457.855251334,0.31246967154216165,63.407407407407405,1.420564783058476,0.9234214635776483,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.001801017824680111,neutral,1.0
aster-2,ASTER,2109397935,-0.13116628821494158,-0.22635474967798347,0.09094012186548951,-54.43973716064326,,,17.80821917808219,0.5868156811940733,69278.59358614286,118058.524689,0.5868156811940733,160.93626621545405,0.22902055437744745,0.14361308775817558,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.3080317781704846,neutral,1.0
pi-network,PI,2076026029,0.7128809511728313,0.9147857414414988,0.24176977387927406,-33.7905636208369,-61.55336195007051,-91.00601411631641,16.967509025270758,0.9170287137696235,52713.8190542,57483.28079882,0.9170287137696235,88.67126529379183,-0.02878005192923009,0.053773430622590615,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.6228900290370458,neutral,1.0
pepe,PEPE,1923094599,-0.42852736231969807,-0.6270669718397458,0.03473172656041326,-61.690707816169066,-67.7651541881307,-71.30653266331657,2.229299363057325,0.6981230321259321,162290.41556652126,232466.7832148621,0.6981230321259321,189.34724581412277,0.02684191759361436,0.06149234338908741,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.2713948700539651,neutral,1.0
pump-fun,PUMP,1697862097,-0.6481965081508876,-0.9091002585293249,-0.039421090601201025,-66.7941585535466,-66.7941585535466,,13.571428571428571,0.5390221470364605,5279371.2250598585,9794349.367805758,0.5390221470364605,241.70297029702974,-0.35347183733790016,-0.08998370460815298,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.4801046228117212,neutral,1.0
htx-dao,HTX,1643450248,0.9708653625993054,1.253219733093935,0.31203849811183665,-27.666530445443406,-28.829915560916774,-52.508720150254895,26.84931506849315,0.9234618479747088,451628.12228002923,489059.8602102706,0.9234618479747088,43.350908025776214,0.498671411587227,0.31135890619744705,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.5352144082680172,neutral,1.0
rain,RAIN,1638804161,1.4543887865264689,2.0179074432260817,0.13951192089403905,-13.829347948496551,,,93.90243902439023,3.0346057209670487,13227135.399340654,4358765.722990042,3.0346057209670487,250.86710277911922,-0.1684076301472829,0.08647173359679926,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,1.499868934228396,neutral,1.0
ondo-finance,ONDO,1615724624,-0.09337592243659112,-0.18382342491021533,0.11766825000186536,-53.670124029883226,-55.24453475336324,-67.41736380330545,2.5559105431309903,0.822090962299114,57158.614223171426,69528.33304883666,0.822090962299114,138.49846473208493,-0.11408408963064358,-0.10960614153732941,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.03176958546902499,neutral,1.0
kaspa,KAS,1514354544,0.5681195712736651,0.7342255147373892,0.1805390365249756,-37.05783832067888,-50.900618413030216,-58.63346835740284,12.101910828025478,1.1130984027127542,143320.53407494572,128758.18860727534,1.1130984027127542,135.05944725860212,0.08411898687746631,0.04449082984097216,mexc,0.0,0.37958325595669407,0.37958325595669407,0.0,500m_2b,0.0,0.0,0.7146411359888247,neutral,1.0
aptos,APT,1496810691,-0.46565008164144117,-0.6878559891168555,0.05283036913452548,-62.7906976744186,-62.872282112187094,-86.13915416098227,0.273972602739726,0.6862091259326213,3023493.2001485755,4406081.303625,0.6862091259326213,168.75,1.4796214665925678,0.9185068850419125,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.2967309819611694,neutral,1.0
quant-network,QNT,1448304917,1.8018883641884063,2.4109407929844995,0.38076603033085527,-6.717328079557183,-26.320859577621324,-39.98672139063254,49.04109589041096,0.9599426132731849,1471691.6542142858,1533103.78544,0.9599426132731849,48.889509708059784,1.200024139327877,0.7279039399155587,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.9496344149936202,neutral,1.0
kucoin-shares,KCS,1410644613,0.7656663291063065,0.9723880677836275,0.28331560552589097,-32.74823759508322,-32.74823759508322,-32.74823759508322,17.26027397260274,0.8410058374276964,457810.3245708571,544360.4600547333,0.8410058374276964,53.281091388617476,0.6116241844642111,0.40065049636536604,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.3841523548902475,neutral,1.0
polygon-ecosystem-token,POL,1408820244,-0.09565856818442653,-0.19605113979347452,0.13859076557001881,-53.8913870632999,-53.8913870632999,-81.31483038968321,0.821917808219178,0.6188094445851483,2000874.3850467145,3233425.7380123,0.6188094445851483,118.18867924528304,1.461591283089145,0.8827362198731604,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.1677166840452243,neutral,1.0
algorand,ALGO,1225628332,0.2680169804319609,0.2952939870499425,0.20437063165667066,-45.00039522567386,-56.285732235974116,-72.82561999609452,0.821917808219178,0.6013090280018026,74419.52036908572,123762.51960890667,0.6013090280018026,86.29067883964072,1.7651254240856482,1.0053722470225068,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.008560447951991268,neutral,1.0
sky,SKY,1224367219,0.8164535950109131,1.0573673694374137,0.2543214546824116,-31.210519530746428,,,27.27272727272727,1.4894026380573544,198347.0734245286,133172.23184406,1.4894026380573544,85.52977756517579,0.045884293845796675,0.09342071480368842,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.8382048451043966,neutral,1.0
arbitrum,ARB,1212591701,-0.3829337427700267,-0.5705490939858887,0.054835410066984794,-60.66800511042161,-64.84502446982056,,4.580152671755725,0.8700797694847207,53511.915315142855,61502.30954896667,0.8700797694847207,173.95000000000002,-0.27783107170393445,-0.1939996001109652,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.13589433826657232,neutral,1.0
official-trump,TRUMP,1203512109,0.6720263517161078,0.8501899672558404,0.2563112487900654,-34.95943753380205,-46.38908701854494,-87.04011035196241,4.100946372239748,0.2416369648281361,3154174.011762857,13053358.843529003,0.2416369648281361,71.17200518422513,0.08411412788423163,0.010112365301521159,mexc,0.4878105454074823,0.7746985432210027,0.7746985432210027,2.2038726209907513,500m_2b,0.0,0.0,0.2577573321288996,neutral,1.0
flare-networks,FLR,1179105094,0.27158762996107866,0.3153800760942192,0.1694052556504175,-44.63693328418725,-44.63693328418725,-57.25668753557199,13.424657534246576,0.533181845346758,774064.9440528428,1451784.1348281933,0.533181845346758,120.211038961039,1.2778229279171778,0.6519343371412291,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.0520855187788476,neutral,1.0
cosmos,ATOM,1166175995,0.075503623109141,0.0333224077572996,0.17392645893010425,-49.74082521252333,-53.267784846732226,-76.67212010393611,0.273972602739726,0.46396503351825474,718859.565008571,1549383.0635413334,0.46396503351825474,98.96864686468649,1.3785317610258203,0.8593367731799927,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.19008344154882156,neutral,1.0
filecoin,FIL,1165623998,-0.05133143802379429,-0.12094859987797339,0.1111086063026236,-52.532391048292105,-52.532391048292105,-80.05690956328095,6.027397260273973,0.2228110760844293,3040759.2765064286,13647253.673126198,0.2228110760844293,148.42721287490855,1.5734737835429569,0.9810599881949095,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.40964339150526696,neutral,1.0
vechain,VET,1147407175,0.11913746209590256,0.09569490488729769,0.1738367622493139,-48.61218195836546,-53.01374691575609,-82.88831835686779,1.095890410958904,0.5141637217637094,758227.9451303429,1474681.92141101,0.5141637217637094,102.81469898358094,1.658707882589644,0.9748031868912291,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.13628839563230224,neutral,1.0
lombard-staked-btc,LBTC,1028327205,0.982058224005923,1.2706491590296909,0.30867937561713166,-27.3511413731535,,,13.513513513513514,0.9230869559871443,49230.93377546143,53332.931915189,0.9230869559871443,47.54454019903247,-0.00404561287848532,-0.028902599837344195,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.5402213941708146,neutral,1.0
xdce-crowd-sale,XDC,983449614,0.7051627797864904,0.8931239778551936,0.26658665095951656,-34.1825377195152,-46.912718204488776,-46.912718204488776,6.167400881057269,0.8681661881304682,51371.464117400006,59172.385218116666,0.8681661881304682,64.14941128704832,-0.08876379092596444,-0.03923070524847013,mexc,0.0,0.13203723102648476,0.13203723102648476,0.0,500m_2b,0.0,0.0,0.4458750428152742,neutral,1.0
nexo,NEXO,959064569,1.0335956096386756,1.340308408613616,0.31793241203048145,-26.090642824109768,-30.433836331979116,-37.514661801120816,2.4657534246575343,0.46286825176879826,280920.2148317142,606911.8237386333,0.46286825176879826,43.09032756148674,0.878084603709858,0.45356286631855847,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.25907078418779383,neutral,1.0
render-token,RENDER,911054273,-0.23374179355999522,-0.3776686806478911,0.10208760964509524,-57.17779408168258,-61.86846689895471,-83.2792207792208,1.095890410958904,0.3884786237400733,364831.04687857145,939127.7269419999,0.3884786237400733,141.38134592680052,1.9062830537376971,1.0926320927673798,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.3853772818700028,neutral,1.0
sei-network,SEI,872152637,-0.3670631408067438,-0.5531866619300461,0.06722507514762818,-60.353828306264504,-63.10391363022943,-80.63465080039666,1.36986301369863,0.6404561094085254,1251198.6641735714,1953605.6347859332,0.6404561094085254,163.4071810542399,1.7110405923611451,1.0516605242340313,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.28079514162875546,neutral,1.0
