id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2903022797,0.58007992672747,0.730380500722821,0.22937858740498432,-39.18712273641851,-39.18712273641851,-39.18712273641851,18.241042345276874,0.7212993634767565,2736836.9843571433,3794314.986173333,0.7212993634767565,82.92234081707768,0.18789945858479065,0.17173923376844227,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.015491528944278826,neutral,1.0
aave,AAVE,2513173551,0.07751929627967137,0.04234734405920637,0.1595871847940897,-50.60319918977688,-53.65287870318613,-56.76105548602419,8.493150684931507,1.2313703819114183,2807737.151919999,2280172.7190819997,1.2313703819114183,112.83839472516325,1.6931917493625388,1.1136841854878705,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.24356651830760395,neutral,1.0
bitget-token,BGB,2473310723,0.6364576651760465,0.8024666551177153,0.24910335531215277,-37.991045131973856,-37.991045131973856,-56.303576789228494,7.397260273972603,0.9759238720254442,683940.1437340714,700813.0073861333,0.9759238720254442,67.6993726149667,0.9046750362277107,0.4992946808361371,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.42294163503538834,neutral,1.0
near,NEAR,2379332120,0.4803777861551026,0.5872668192586354,0.23097004224685952,-41.56171284634761,-41.56171284634761,-76.94409937888199,0.821917808219178,0.7602505186405528,873416.2956571426,1148853.271707,0.7602505186405528,73.45712725286731,1.7329442857559485,1.054815222953885,mexc,1.3383116698654525,1.7720053575891461,1.7720053575891461,2.643384132259,gt2b,0.0,0.0,0.27717863742817417,neutral,1.0
aster-2,ASTER,2230926645,-0.004639053332866086,-0.05157004018729912,0.10486658266081099,-52.161507867888645,,,31.818181818181817,1.0724879212530731,137039.329042,127777.03722936667,1.0724879212530731,160.93626621545405,-0.5843350676726322,0.4284311751694794,mexc,0.0,0.3240738830104404,0.3240738830104404,0.0,gt2b,0.0,0.0,-0.0090851741683795,neutral,1.0
internet-computer,ICP,2221808152,-0.10738043372382325,-0.17373506629579952,0.04744704227745467,-54.188510875627436,-54.188510875627436,-73.00867507886434,7.397260273972603,0.555369512455599,7161336.971771427,12894724.703390999,0.555369512455599,210.10031131096505,1.4108334114604428,0.8774717686192091,mexc,0.5111775273905013,0.8352514104009416,0.8352514104009416,2.142015354404408,gt2b,0.0,0.0,-0.6579967569442656,neutral,1.0
okb,OKB,2205560475,-0.07091937651704683,-0.15747267074247115,0.1310383100089432,-53.91867976479578,-54.25994699585033,-54.25994699585033,73.42465753424658,0.8280224372257396,143442.1956427143,173234.672388,0.8280224372257396,129.59045813840945,0.9509205388981293,0.5180529849448127,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.45837386025597443,neutral,1.0
ethereum-classic,ETC,2118925763,0.6457771883022866,0.8136200855366259,0.2541437614221617,-37.80598368087035,-44.40842787682333,-64.16819012797075,1.095890410958904,0.5617031157141626,3132266.7748699994,5576374.221972333,0.5617031157141626,63.407407407407405,1.4236954114909213,0.9389113615195771,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.14335081820320794,neutral,1.0
pi-network,PI,2022569967,0.6164553514886989,0.7876469643467007,0.21700825482002792,-38.23693840211425,-66.69270405086883,-91.18908396199397,14.814814814814813,0.9696383191910107,58098.317069171426,59917.51348858,0.9696383191910107,98.13705251497909,0.06583084872258751,0.030698624061523853,mexc,0.0,0.3205793001651991,0.3205793001651991,0.0,gt2b,0.0,0.0,0.4409645392195389,neutral,1.0
ethena,ENA,1780378507,-0.813421339766042,-1.1429633056306732,-0.04449008608190288,-70.27027027027026,-70.39506172839506,-81.02848101265823,1.095890410958904,0.9502730067571692,12656247.888557142,13318538.7762901,0.9502730067571692,246.031746031746,1.9445282402192252,1.3200874793350197,mexc,0.0,0.11150293894106993,0.11150293894106993,0.0,500m_2b,0.0,0.0,-0.27388045077035966,neutral,1.0
