id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mom_7d_pct,mom_30d_pct,volume_mc_ratio,ath_drawdown_pct,z_mom7,z_mom30,z_vmc,z_dd,beta_pen,score_global,score_segment,z_slope,z_volacc,z_buzz_level,z_buzz_acc,z_buzz_combined,early_score
aave,AAVE,2892238303.0,0.590864235398714,0.6310948036819372,0.49699290940452684,-39.474296111539594,-46.65975395292823,-50.39855053599971,23.28767123287671,0.8516717091102209,32660.92141311432,38349.19143579,0.8516717091102209,99.67183148350057,1.7317432128583146,1.0972531135217616,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.18932844110458114
bittensor,TAO,2736587614.0,0.4779435577868735,0.4675892646063122,0.5021035752081833,-42.63782696177063,-42.63782696177063,-42.63782696177063,15.692307692307692,0.6338771088710312,1362907.3426285714,2150112.8902666667,0.6338771088710312,87.59672366285433,0.005625106217350906,-0.0982831365094032,mexc,0.0,0.09309258083757245,0.09309258083757245,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.14027677938189367
rain,RAIN,2594071220.0,1.7855960844711283,2.3963588912624,0.36048286862482753,-5.3196892924837975,,,90.32258064516128,0.844849561367861,4885700.130918024,5782923.202336507,0.844849561367861,254.3881986214163,-0.7248083551187701,-0.2660674223491357,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.71890766737872
bitget-token,BGB,2513496216.0,0.7159745592842799,0.7528154842124449,0.6300124011185614,-37.11922526717343,-37.11922526717343,-55.6892234291863,5.205479452054795,0.975285495942058,597362.8383532428,612500.4840518333,0.975285495942058,67.6993726149667,0.839626574511211,0.4590331077104717,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.6753350794445794,0.0,0.0,0,0,0,0,0,0.22584464526373346
memecore,M,2456334886.0,0.1900367111168482,0.14351343671653854,0.29859101805090404,-48.90809697916296,-48.90809697916296,,48.76543209876543,0.6037879503423268,229951.5613667143,380848.2120856167,0.6037879503423268,127.62237197201078,-0.3205402331130471,-0.3865382414835902,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.04305403101496156
okb,OKB,2408774200.0,0.15268296520074007,0.09880187068590454,0.27840551906868966,-49.77318338112657,-50.14515116644,-50.14515116644,75.06849315068493,2.7763412713916455,1569925.573176143,565465.6325406333,2.7763412713916455,130.7817820658343,0.9657922554123489,0.5323208748524892,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.6254717174337905,0.0,0.0,0,0,0,0,0,0.02964056120577136
near,NEAR,2169542805.0,0.30255666596177966,0.24818621957376386,0.42942104086714994,-46.88287153652393,-46.88287153652393,-75.6319514661274,0.821917808219178,0.7962823914707094,550226.6890142855,690994.4197033334,0.7962823914707094,95.20590043023971,1.7561246278421971,1.0709114368660029,mexc,0.8357155768205291,0.9638438441107434,0.9638438441107434,3.0347286406860903,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.07445586587212916
aster-2,ASTER,1951593620.0,-0.2761914998443679,-0.4225715852380044,0.06536203274078398,-59.86079889330797,,,5.952380952380952,0.6631591779472511,65367.54455085714,98569.91612963335,0.6631591779472511,160.93626621545405,0.6079556285391577,0.21496666491789956,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.7942694266357357,0.0,0.0,0,0,0,0,0,-0.1267714755714013
ethena,ENA,1926060132.0,-0.6309633067655684,-0.8001039473493982,-0.2363018120699658,-67.16535433070867,-69.11111111111113,-80.20569620253166,2.191780821917808,0.7509584753360622,8169155.678628142,10878305.454868667,0.7509584753360622,226.8983268983269,1.9077625909312652,1.306491999286845,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.24003118420481945
pepe,PEPE,1886597779.0,-0.41200344335849853,-0.5565934270797412,-0.07462681467559887,-62.45387453874539,-68.40731070496085,-71.87814070351759,2.4615384615384617,0.8743666222672294,191029.7800141763,218477.8960555891,0.8743666222672294,194.20182580804345,-0.06942339197033369,-0.05382494639502183,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.16697802812392237
