id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2945976784,0.5047627693469794,0.6241185287501975,0.22626599740613723,-38.21931589537223,-38.21931589537223,-38.21931589537223,19.614147909967848,0.6825557514263267,2478129.356128571,3630662.185396666,0.6825557514263267,82.92234081707768,-0.08385595598068933,-0.021437056303706046,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.21527874091943025,neutral,1.0
aave,AAVE,2831057502,0.2998483179138845,0.3499997180317457,0.18282838430554185,-43.10203656738497,-47.67071034292398,-51.33864560501065,20.273972602739725,0.8057973894996439,31748.81888581432,39400.49856146667,0.8057973894996439,108.3769865960857,1.7219645588785748,1.110391427169166,mexc,0.0,0.374126315688601,0.374126315688601,0.0,gt2b,0.0,0.0,0.30641264761681886,neutral,1.0
bitget-token,BGB,2555955725,0.6026896059080137,0.7537883607168206,0.25012584468746424,-35.909581778912234,-35.909581778912234,-54.83681277479434,7.671232876712329,0.8025249699709907,530077.2437555,660511.83899569,0.8025249699709907,67.6993726149667,0.9138373560365304,0.49964382792714007,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.4662959120738754,neutral,1.0
near,NEAR,2463090812,0.4551494589481683,0.5513716974057242,0.2306309025472043,-39.515113350125944,-39.515113350125944,-76.13664596273291,2.73972602739726,0.4476794776398072,515711.5609199997,1151966.053121,0.4476794776398072,74.40966501922021,1.7388229503801043,1.0690645280192606,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.17140721853146462,neutral,1.0
okb,OKB,2322354703,-0.04479570684504085,-0.12042514840897961,0.13167299013748293,-51.48144407312586,-51.840760888516925,-51.840760888516925,74.24657534246575,0.8370718159751477,139345.98276385714,166468.372372,0.8370718159751477,129.59045813840945,0.9498543275741953,0.5171461617040328,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.04049194443917082,neutral,1.0
internet-computer,ICP,2239733288,-0.1669889828366351,-0.25549354156527526,0.03952165419685862,-53.88733965421082,-53.88733965421082,-72.83123028391168,7.671232876712329,0.22527545118929182,2960172.2485542856,13140234.468188666,0.22527545118929182,210.10031131096505,1.4108369517324288,0.8819533291631546,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.9615444794711251,neutral,1.0
aster-2,ASTER,2220961056,-0.09701480605073756,-0.1794762414718395,0.09539520993183358,-52.53328722116548,,,27.142857142857142,0.6714126541707142,81018.97177128571,120669.41435793335,0.6714126541707142,160.93626621545405,0.9153491067999671,0.1463862389401954,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.2449379784326688,neutral,1.0
pi-network,PI,2117521595,0.6129831688192059,0.7813420195646686,0.2201458504131264,-35.418784305753206,-60.841294298921426,-90.78705533059515,18.248175182481752,0.878771317589448,51149.75082684286,58205.985792926665,0.878771317589448,98.13705251497909,-0.10137359771738677,-0.03378369999917803,mexc,0.0,0.09500628701716482,0.09500628701716482,0.0,gt2b,0.0,0.0,0.5949934313574797,neutral,1.0
ethena,ENA,2074816520,-0.6460411222792805,-0.9065790256321427,-0.038119347789268544,-65.48475080585172,-65.62962962962963,-77.9746835443038,10.684931506849315,0.7732578743149423,9784747.326377286,12653925.231664734,0.7732578743149423,246.031746031746,1.9121774432127285,1.3172606021607591,mexc,1.759495374268939,1.759495374268939,1.759495374268939,3.5,gt2b,0.0,0.0,-0.17964703766585993,neutral,1.0
pepe,PEPE,1969055039,-0.43875415137151064,-0.6427306500410909,0.0371910121908431,-60.7849714860785,-67.00303436595864,-70.6281407035176,2.2508038585209005,0.8502171647666299,209396.27256354183,246285.6329429876,0.8502171647666299,189.34724581412277,0.05108780649953431,0.10956655380209905,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.25187707181265784,neutral,1.0
rain,RAIN,1805434651,1.7584350153687065,2.4418528551635017,0.1637933891808513,-5.84106009985359,,,96.20253164556962,3.1356500780839034,11919895.53760632,3801411.2674492653,3.1356500780839034,250.86710277911922,-0.5372348655520931,-0.16391373721699198,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,1.5779792022411496,neutral,1.0
pump-fun,PUMP,1720855162,-0.6788083961424088,-0.9540627849202302,-0.03654815566082563,-66.33055169216505,-66.33055169216505,,15.328467153284672,0.5226517182150006,6095650.128653397,11662929.473324453,0.5226517182150006,241.70297029702974,-0.042694957701060146,-0.09747898660629481,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.5828304423731187,neutral,1.0
aptos,APT,1651330590,-0.3525661376129664,-0.5425315811044938,0.09068656386726412,-59.0001831166453,-59.090078567513245,-84.72714870395635,0.273972602739726,0.6527215121550205,2918783.7217485714,4471713.690134,0.6527215121550205,143.90352836087544,1.4781487689808528,0.9173178406253624,mexc,0.8822858413998761,0.8822858413998761,0.8822858413998761,3.5,500m_2b,0.0,0.0,-0.05902665758919673,neutral,1.0
ondo-finance,ONDO,1640422375,-0.10349958649939069,-0.19825248943355792,0.11759052034699953,-52.867737723942845,-54.469415639013455,-66.85306570087737,2.5806451612903225,0.803596981479933,57225.66861674285,71211.90091002334,0.803596981479933,138.49846473208493,0.061063307476364494,0.07611386007500937,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.13394641007081423,neutral,1.0
htx-dao,HTX,1617691581,0.8983020073142385,1.1546130406409407,0.3002429295519334,-28.769922353902732,-29.91556091676719,-53.23316340220017,22.19178082191781,0.9132126810579297,445108.85615828587,487409.85029099736,0.9132126810579297,43.350908025776214,0.5013306951438596,0.31146589876088476,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.3884567080689095,neutral,1.0
kaspa,KAS,1606797415,0.6736579410500692,0.8818298627846081,0.1879234570028118,-33.62885216614559,-48.2257643062451,-56.37988728425503,15.434083601286176,1.1429085397093814,144773.8698176586,126671.43939135467,1.1429085397093814,135.05944725860212,-0.10554685425228982,0.031106564474610753,mexc,1.0755457679938443,1.0755457679938443,1.0755457679938443,3.5,500m_2b,0.0,0.0,0.7342000878730452,neutral,1.0
kucoin-shares,KCS,1540445952,0.9892751965101099,1.281449645019741,0.3075348166543042,-26.510654890480232,-26.510654890480232,-26.510654890480232,54.794520547945204,0.9383009861830605,491668.8988758571,523999.12833506666,0.9383009861830605,43.87650605091855,0.6133223140308596,0.3984296245933835,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.44623186772528,neutral,1.0
polygon-ecosystem-token,POL,1444765894,-0.08821840984394817,-0.1858120426804379,0.1395000667745279,-52.64614320304394,-52.64614320304394,-80.81020465377068,1.36986301369863,0.8412522300235497,2775241.6264837147,3298941.1824870002,0.8412522300235497,118.18867924528304,1.4597760849267023,0.8832395793602441,mexc,0.7990421433417683,0.7990421433417683,0.7990421433417683,3.5,500m_2b,0.0,0.0,0.1878249631483329,neutral,1.0
algorand,ALGO,1287708059,0.3457545156683462,0.404289209441735,0.20917356353043914,-42.1350090901905,-54.008293020041464,-71.40988088264011,1.9178082191780823,0.8545265170421686,111882.96327965715,130929.77344568,0.8545265170421686,86.29067883964072,1.804445571069857,1.0061173967228088,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.10153401366256924,neutral,1.0
official-trump,TRUMP,1255686104,0.7529445617330349,0.9644086801001063,0.259528285543202,-32.157923201730654,-44.90028990600017,-86.48188460460806,5.7324840764331215,0.27799607222111455,4790367.884838572,17231782.616800334,0.27799607222111455,71.17200518422513,0.0382145553556448,-0.12167164710163925,mexc,3.17629346482104,3.17629346482104,3.17629346482104,3.5,500m_2b,0.0,0.0,0.223972656828837,neutral,1.0
arbitrum,ARB,1223632826,-0.41229383044405393,-0.6125971327219802,0.05508054153777403,-60.24822047818945,-64.46982055464927,,5.46875,0.9165872690063125,56416.11917771429,61550.1884931,0.9165872690063125,173.95000000000002,-0.4485531641733993,-0.19971774368534503,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.19472848392149844,neutral,1.0
quant-network,QNT,1222267246,1.1972860447533094,1.5731187801539694,0.32034299548510287,-21.315320386527816,-37.851055946646895,-49.378319652341865,23.835616438356162,0.6979607714463026,990716.0996000002,1419443.8142233335,0.6979607714463026,48.889509708059784,1.2091552491030744,0.7271415506647763,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.3750160888350151,neutral,1.0
cosmos,ATOM,1216563836,0.12391122308823767,0.09951610852858347,0.18083315706076414,-47.56375699771927,-51.24349334875651,-75.66163025695315,2.4657534246575343,0.6081694882187875,986663.5889971424,1622349.7036769998,0.6081694882187875,95.42139384116695,1.3845781871271947,0.8578585096028178,mexc,0.0,0.09500628701716482,0.09500628701716482,0.0,500m_2b,0.0,0.0,-0.14778907558519983,neutral,1.0
