id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2797467782,0.48582317561334953,0.5976449264541354,0.22490575698484924,-41.29577464788733,-41.29577464788733,-41.29577464788733,15.857605177993527,0.6535566209974878,2470347.2374714282,3779851.90281,0.6535566209974878,82.92234081707768,-0.008968798750039616,0.002965323195512897,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.061734288035155814,neutral,1.0
aave,AAVE,2730908804,0.3131243703335394,0.36795602517823095,0.1851838423625925,-45.1549493323658,-49.55878260840354,-53.09437655866841,17.80821917808219,0.9051159298217688,35573.25683474289,39302.43150371667,0.9051159298217688,108.3769865960857,1.7483542222744641,1.1183462217119593,mexc,0.7483458306748111,0.7483458306748111,0.7483458306748111,3.5,gt2b,0.0,0.0,0.4714987531171023,neutral,1.0
bitget-token,BGB,2527882323,0.6831441799544696,0.8660896901750698,0.25627132277306963,-36.78543378867353,-36.78543378867353,-55.45400750368452,7.671232876712329,0.8728563360034793,600236.5020321142,687669.2959352266,0.8728563360034793,67.6993726149667,0.9168747277520441,0.49675730484384667,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.5652116220922253,neutral,1.0
near,NEAR,2432405337,0.5335811005823884,0.6605241003495648,0.23738076779231024,-40.239294710327464,-40.239294710327464,-76.4223602484472,1.36986301369863,0.5630430812672448,645907.6314214283,1147172.6638886668,0.5630430812672448,74.40966501922021,1.7442921702526086,1.057953162357385,mexc,1.587251968680183,1.587251968680183,1.587251968680183,3.5,gt2b,0.0,0.0,0.27707641535253913,neutral,1.0
aster-2,ASTER,2339107743,0.09506896981008085,0.08679440679602385,0.11437628350954722,-49.87895555939824,,,45.588235294117645,0.8430345578188164,104670.69944814286,124159.44100673334,0.8430345578188164,160.93626621545405,0.2056387908170581,0.7383541790726855,mexc,0.0,0.1921077954037554,0.1921077954037554,0.0,gt2b,0.0,0.0,-0.0343134012564251,neutral,1.0
okb,OKB,2225708450,-0.04845524951300704,-0.1268502942592921,0.1344665215616581,-53.468559659577465,-53.813160372423894,-53.813160372423894,73.42465753424658,0.850041011444115,144257.6392695714,169706.68159233333,0.850041011444115,129.59045813840945,0.9549625788898007,0.5181212208002222,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.1976507169321652,neutral,1.0
internet-computer,ICP,2222511065,-0.10280507920629314,-0.1677084127017733,0.04863603228316056,-54.15504740658115,-54.15504740658115,-72.98895899053628,7.671232876712329,0.28963978555717124,3767615.0527757145,13007933.442320667,0.28963978555717124,210.10031131096505,1.427624381569663,0.8769420377649195,mexc,0.0,0.1921077954037554,0.1921077954037554,0.0,gt2b,0.0,0.0,-1.005010131928365,neutral,1.0
ethereum-classic,ETC,2177178874,0.7105834920591552,0.9024765666114608,0.26283298477044215,-36.17407071622847,-42.94975688816856,-63.22799686602245,1.643835616438356,0.43713151530037775,2415623.7471399987,5526080.052773333,0.43713151530037775,63.407407407407405,1.4532396069429543,0.9368035598397113,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.015995909701215484,neutral,1.0
ethena,ENA,1995778661,-0.6411541428077745,-0.902531805619597,-0.03127292958018859,-66.50136374907017,-66.64197530864197,-78.62341772151899,7.397260273972603,0.7944224017924599,10274438.989236573,12933219.111211235,0.7944224017924599,246.031746031746,1.9576016754170846,1.3257268474773134,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.3692140135966147,neutral,1.0
pi-network,PI,1983266970,0.5592927187942552,0.7066486324265713,0.2154622536521845,-39.46432201667005,-63.70036266114041,-91.36417848766182,13.602941176470587,0.8953317620624519,52857.42859202857,59036.69548176,0.8953317620624519,98.13705251497909,-0.1584923880788621,-0.06602257931061904,mexc,0.0,0.1900362412259895,0.1900362412259895,0.0,500m_2b,0.0,0.0,0.2574163056549556,neutral,1.0
