id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2976448893,0.6298540269952342,0.7999456708084945,0.23297352476429337,-37.418511066398395,-37.418511066398395,-37.418511066398395,21.29032258064516,0.6801305037152401,2561653.7195,3766414.9828699995,0.6801305037152401,82.92234081707768,-0.16415848417448278,-0.050494156004335024,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.2553429202929894,neutral,1.0
aave,AAVE,2691577784,0.25674033731258394,0.2906001094730488,0.1777342022714993,-45.945341292752154,-50.285709326732665,-53.7703505474538,15.342465753424658,0.9030096884958757,35454.52745470004,39262.62132774666,0.9030096884958757,108.3769865960857,1.727931404179112,1.1106979681079496,mexc,0.5291862503361147,0.5291862503361147,0.5291862503361147,3.5,gt2b,0.0,0.0,0.48555459818879065,neutral,1.0
near,NEAR,2402187562,0.4806082220203625,0.588189116261083,0.22958613545868162,-40.96347607052897,-40.96347607052897,-76.7080745341615,1.36986301369863,0.4949253960445236,570481.4122514284,1152661.4249556668,0.4949253960445236,74.40966501922021,1.7487889984656102,1.067689242763678,mexc,1.4062018597075547,1.4062018597075547,1.4062018597075547,3.5,gt2b,0.0,0.0,0.11608082213849741,neutral,1.0
aster-2,ASTER,2329982565,0.06557847547728277,0.04658964812101777,0.10988573930856779,-50.030261110150455,,,42.028985507246375,0.694859631098563,85450.82508571427,122975.66481249999,0.694859631098563,160.93626621545405,0.7218670830363781,0.36126655072053987,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.15300215007384954,neutral,1.0
internet-computer,ICP,2283538919,-0.06794902816157518,-0.11851271671222595,0.050032911789943256,-52.794199665365305,-52.794199665365305,-72.18717139852787,8.767123287671232,0.2543202125873821,3334127.805991429,13109959.967676,0.2543202125873821,210.10031131096505,1.4274999896078442,0.8838205701336567,mexc,0.8387517946934142,0.8387517946934142,0.8387517946934142,3.5,gt2b,0.0,0.0,-0.6889598972294654,neutral,1.0
okb,OKB,2230622132,-0.06503881359072078,-0.14898451982094196,0.13083450094646193,-53.30432071386853,-53.650137741046834,-53.650137741046834,73.42465753424658,0.8157543103311721,136200.14655271426,166962.21500493333,0.8157543103311721,129.59045813840945,0.950808566965408,0.5171946840217272,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.07955628527833354,neutral,1.0
ethereum-classic,ETC,2158290491,0.6716900283532263,0.8499112794976968,0.2558404423494621,-36.582048957388935,-43.31442463533225,-63.463045181509536,1.36986301369863,0.42761571628872425,2358512.9463414275,5515496.406004334,0.42761571628872425,63.407407407407405,1.4283178508235121,0.9246956662905814,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.07384124498013665,neutral,1.0
ethena,ENA,2146216340,-0.5690143060734487,-0.8017782106231165,-0.025898528790890975,-64.23258120505827,-64.38271604938272,-77.17563291139241,13.698630136986301,0.7796859158388348,9993271.859963428,12817048.066351233,0.7796859158388348,246.031746031746,1.9289449571190962,1.3174797923354076,mexc,1.5213151498898436,1.5213151498898436,1.5213151498898436,3.5,gt2b,0.0,0.0,-0.2559673473972857,neutral,1.0
pi-network,PI,2036048683,0.6033944721698369,0.7695763765089787,0.21563669537850608,-37.926916039845494,-62.626417172845365,-91.14485718739465,15.75091575091575,0.8862478469232227,51951.999841,58620.17044257,0.8862478469232227,98.13705251497909,-0.06515706453066124,0.011688570218421358,mexc,0.0,0.1343824763901844,0.1343824763901844,0.0,gt2b,0.0,0.0,0.5527431166993603,neutral,1.0
pepe,PEPE,1916919858,-0.4477165581606545,-0.6569542258612532,0.04050466647407572,-61.80811808118081,-67.86394749841224,-71.39447236180905,1.6129032258064515,0.871935028264799,215790.025927641,247484.06582205513,0.871935028264799,189.34724581412277,0.13218089836000388,0.09790857235833819,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.18991418455023673,neutral,1.0
rain,RAIN,1806228344,1.981451741698784,2.7566178848796015,0.172730740943544,-4.662337174818864,,,97.43589743589743,3.0078464287737834,9462418.341914298,3145911.3907527076,3.0078464287737834,250.86710277911922,0.22740144128630516,0.28697829098412564,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,1.6719322885691372,neutral,1.0
aptos,APT,1663216676,-0.2921914441420768,-0.46078398937483983,0.10119116140103683,-58.52407983885735,-58.615019185090446,-84.54979536152797,0.273972602739726,0.7014499795339743,3172009.9588657143,4522075.773632666,0.7014499795339743,141.1037527593819,1.4909386673242446,0.9174209219749836,mexc,0.7975698350161441,0.7975698350161441,0.7975698350161441,3.5,500m_2b,0.0,0.0,0.06291002434806073,neutral,1.0
pump-fun,PUMP,1659843406,-0.7042311368614049,-0.9921785986206164,-0.03235372608991178,-67.42002781641168,-67.42002781641168,,11.029411764705882,0.5094509389934097,6193320.975891419,12156854.569997244,0.5094509389934097,241.70297029702974,0.042886284890498866,-0.14365918976587524,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.5787493587076439,neutral,1.0
htx-dao,HTX,1602316123,0.9670079125070353,1.253095024272254,0.2994713183881918,-29.832447895382096,-30.960997185363894,-53.93077542259191,16.164383561643834,0.911017729918736,443802.23161917756,487149.9390673388,0.911017729918736,43.350908025776214,0.503269603460872,0.31061312496266696,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.4421785149856078,neutral,1.0
ondo-finance,ONDO,1576096238,-0.1296307857699482,-0.23522981878154403,0.11676695792377541,-54.748132298542096,-56.28590947309418,-68.17549989797999,1.2944983818770228,0.7862898176933243,55748.12812352857,70900.22898563332,0.7862898176933243,138.49846473208493,-0.04550135670400359,0.02180995892774862,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.12065919271494965,neutral,1.0
kucoin-shares,KCS,1515750908,1.062855339818627,1.3869683114072358,0.306591739445206,-27.591307738489444,-27.591307738489444,-27.591307738489444,52.32876712328767,0.9529656969170551,502129.2469922857,526912.1948636,0.9529656969170551,43.87650605091855,0.6096256480300307,0.3971116204140779,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.5153267761950674,neutral,1.0
polygon-ecosystem-token,POL,1417488634,-0.07038137160249326,-0.16132417513035863,0.14181850329585924,-53.510895883777245,-53.510895883777245,-81.16063919259882,1.095890410958904,0.937269021933741,3077236.428781286,3283194.426326433,0.937269021933741,118.18867924528304,1.4686069180490557,0.883922269752382,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.021046082378953786,neutral,1.0
kaspa,KAS,1335575590,0.31634385301015955,0.3851539407274322,0.1557869816698567,-44.36243858865565,-56.59872833376883,-63.43416108958554,6.129032258064516,1.0102019233867385,121937.88832778572,120706.45036883767,1.0102019233867385,135.05944725860212,0.03723802324678572,0.12087826650523861,mexc,1.5213151498898436,1.5213151498898436,1.5213151498898436,3.5,500m_2b,0.0,0.0,0.5772202905817707,neutral,1.0
algorand,ALGO,1272146655,0.39578190178334016,0.4750045086102609,0.2109291525205252,-42.858272073353895,-54.58315009109758,-71.76723296231205,1.643835616438356,0.8784713613210116,118033.73907139999,134362.64887896331,0.8784713613210116,86.29067883964072,1.8164663852677898,1.0025881324783112,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.17402065434707278,neutral,1.0
quant-network,QNT,1259169064,1.4459225023119968,1.9232600346644837,0.33213492682286067,-18.61337836570035,-35.71693219711004,-47.64002897151135,28.767123287671232,0.6833733467880099,961540.1672714287,1407049.5605233333,0.6833733467880099,48.889509708059784,1.228142072635396,0.7300640067390747,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.4702960411805333,neutral,1.0
official-trump,TRUMP,1241913380,0.830562521541061,1.0747702663822587,0.2607444502449335,-32.81773931855055,-45.4361767548098,-86.61335862232472,4.792332268370607,0.2899718531117288,5330537.769187143,18382948.937920667,0.2899718531117288,71.17200518422513,0.2926798143536872,0.1474747073723565,mexc,0.5896850254199693,0.5896850254199693,0.5896850254199693,3.5,500m_2b,0.0,0.0,0.22312158734728882,neutral,1.0
arbitrum,ARB,1198227170,-0.4144678402339584,-0.6171965360034263,0.0585657832281334,-61.14254425990144,-65.26916802610114,,3.149606299212598,0.89932561211782,56181.500894285724,62470.7004196,0.89932561211782,173.95000000000002,-0.0381270237167304,0.008176454330329395,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.15463290358058476,neutral,1.0
filecoin,FIL,1178617430,-0.010011425546653928,-0.06417648880359586,0.11637372205287726,-51.88457008244994,-51.88457008244994,-79.78473339106768,6.027397260273973,0.36954347222075634,5089640.478356572,13772778.741755567,0.36954347222075634,148.42721287490855,1.5778356872167394,0.9882401042335557,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.3913259133572974,neutral,1.0
cosmos,ATOM,1174676895,0.12078142243352197,0.09608080673172277,0.17841619240438678,-49.20174165457184,-52.766531713900136,-76.42190357039745,0.273972602739726,0.8817141869725169,1442062.931878571,1635521.978874,0.8817141869725169,96.85714285714286,1.3898479979774043,0.8572621883804199,mexc,0.0,0.1343824763901844,0.1343824763901844,0.0,500m_2b,0.0,0.0,0.1034523466431401,neutral,1.0
vechain,VET,1166007733,0.18384088418198413,0.18656487098015434,0.17748491498625374,-47.6869699306091,-52.16778286922805,-82.58023106546855,1.36986301369863,0.696962897513148,1091386.3392249714,1565917.4155743099,0.696962897513148,102.81469898358094,1.6709697089238076,0.9745768643939848,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.05620822190281506,neutral,1.0
flare-networks,FLR,1072370068,0.09598118226152745,0.07151603260005536,0.15306653147162902,-49.612974566900114,-49.612974566900114,-61.098463289698344,5.205479452054795,0.6055436205484575,892184.5992558572,1473361.4044976332,0.6055436205484575,120.211038961039,1.2996418658718065,0.6516164435438511,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.1641300311856891,neutral,1.0
xdce-crowd-sale,XDC,1004347669,0.8245861428078245,1.06342500546989,0.2672954632630053,-33.007667573583966,-45.96508728179551,-45.96508728179551,6.278026905829597,0.9165718128100905,54373.7836477143,59322.99344992,0.9165718128100905,64.14941128704832,-0.2299178143285086,-0.1136248908048487,mexc,0.5291862503361147,0.5291862503361147,0.5291862503361147,3.5,500m_2b,0.0,0.0,0.7040645498060425,neutral,1.0
lombard-staked-btc,LBTC,986700791,0.9499928564862188,1.2311681483581658,0.29391717545167595,-30.199520394892154,,,5.714285714285714,0.9151473725407251,48793.11964352143,53317.226391698,0.9151473725407251,47.54454019903247,-0.015157725257058507,-0.05791775202694389,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.43812539623540964,neutral,1.0
sky,SKY,985123059,0.3228494141687904,0.3729824669435687,0.20587229102764112,-44.56619827252805,,,4.10958904109589,0.8957686573761123,94674.75832067143,105691.0816661,0.8957686573761123,85.52977756517579,0.04868968350758181,-0.022500083470425807,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.1563359968003453,neutral,1.0
story-2,IP,972324635,-1.2542395459635691,-1.6487336329784328,-0.33375334292888764,-78.41125604572768,-78.41125604572768,,8.333333333333332,0.945709862723808,51819.82546714285,54794.63365,0.945709862723808,499.0342405618964,-0.2626324067906382,-0.28637146432654814,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.4761484557304727,neutral,1.0
nexo,NEXO,956633476,1.1204506566129906,1.4669409635121284,0.31197327384833623,-26.252505010020045,-30.586186883343014,-37.6515052782484,1.9178082191780823,0.500200222625007,324741.6967559999,649223.4150792335,0.500200222625007,43.09032756148674,0.876269842847545,0.45300323702997164,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.19047765781006268,neutral,1.0
render-token,RENDER,926230644,-0.19688648725668498,-0.32777347931699397,0.10851649421736927,-56.29738322328198,-61.08449477351916,-82.93544690603514,1.095890410958904,0.6407470456391773,624742.19485,975021.5769263334,0.6407470456391773,141.38134592680052,1.9142190371499557,1.0888685503464814,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.2615762177573555,neutral,1.0
sei-network,SEI,863426207,-0.38986134768077163,-0.5874073959775532,0.0710794316783853,-60.64385150812066,-63.37381916329286,-80.7763139254852,1.095890410958904,0.8469943801336162,1678454.9632794284,1981660.0943853331,0.8469943801336162,163.4071810542399,1.7187937129857076,1.049870271997376,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.1845422267576678,neutral,1.0
pancakeswap-token,CAKE,808256633,0.2922991965868181,0.34105234986313976,0.1785418389420675,-45.100732600732606,-45.100732600732606,-45.100732600732606,45.75342465753425,0.8241724039543504,3024078.3859885717,3669230.335157,0.8241724039543504,110.40462427745665,1.490040351726207,0.9661876382163146,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.08809368910234888,neutral,1.0
bonk,BONK,799353524,-0.49370318280570463,-0.7166068682325687,0.026405416523644788,-62.806748466257666,-74.89648033126295,-79.22912205567452,1.643835616438356,0.8701235883789405,2642277.1992436056,3036668.853175474,0.8701235883789405,199.77011494252875,2.199448893445257,1.2645082449589093,mexc,0.8378136358164205,0.8378136358164205,0.8378136358164205,3.5,500m_2b,0.0,0.0,0.10731978545521892,neutral,1.0
morpho,MORPHO,792650873,0.6863350802011152,0.8741442645112251,0.24811365014419248,-36.17637044603337,-44.036423346768174,-61.746849650528034,29.589041095890412,0.3719756705321179,518399.0513062857,1393636.9832056665,0.3719756705321179,72.295959521889,1.6723973813419963,1.1428716896888789,mexc,0.0,0.187438881838492,0.187438881838492,0.0,500m_2b,0.0,0.0,-0.031048017087580374,neutral,1.0
fasttoken,FTN,782167866,-0.5442762014281779,-0.7961003286548659,0.043313428767427366,-64.13752916325464,-64.60572578782956,-64.60572578782956,0.273972602739726,0.5676743760028049,869667.6245451561,1531983.2307189766,0.5676743760028049,178.8430291243014,0.052298533000646755,0.023642681156716625,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.46576647488586326,neutral,1.0
