id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
aave,AAVE,2574101971,0.3393336911961785,0.2942677886994059,0.44448746368864817,-47.13365134636995,-52.43244847238171,-55.76661755288408,11.232876712328768,0.7571334427531596,30290.044517357175,40006.21661515,0.7571334427531596,103.86051506093064,1.7328591644153812,1.1099321062321248,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.0009460997515219408,neutral,1.0
bittensor,TAO,2523858109,0.3608101463610918,0.29876425970312964,0.505583881896337,-47.0523138832998,-47.0523138832998,-47.0523138832998,12.025316455696203,0.45852303506944986,1403848.4856571427,3061674.9395033335,0.45852303506944986,88.86566596997912,-0.01794028523291929,-0.04913834503803547,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.1941563655653073,neutral,1.0
bitget-token,BGB,2416409975,0.7109423537857171,0.719169652785533,0.6917453227861472,-39.44752601610053,-39.44752601610053,-57.32992863222681,4.383561643835616,0.6506477233217253,416035.9681576857,639418.1570846267,0.6506477233217253,67.6993726149667,0.914983438508592,0.5021381932265572,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.3824790818572792,neutral,1.0
memecore,M,2341885627,0.13656494704203387,0.06426355767883767,0.3052681888894917,-51.29423875616769,-51.29423875616769,,44.44444444444444,1.6043491069305729,724804.6693634,451774.9074888633,1.6043491069305729,124.7781820503,0.8548795289414745,0.6878936665721006,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.37868750194595624,neutral,1.0
near,NEAR,2120894627,0.32144422603700606,0.25765371826358086,0.47028874417499833,-47.79596977329975,-47.79596977329975,-79.40372670807454,0.547945205479452,0.3553194483257013,411310.07319142827,1157578.2725363334,0.3553194483257013,95.20590043023971,1.7587365453231125,1.0767384716793917,mexc,0.8972246053759267,0.8972246053759267,0.8972246053759267,3.4999999999999996,gt2b,0.0,0.0,-0.05125128917906674,neutral,1.0
okb,OKB,2086343059,-0.08763581572445374,-0.21667111457730012,0.2134465482655211,-56.37611596850477,-56.69918401506433,-56.69918401506433,70.68493150684931,0.7727120081265146,123846.75645371429,160275.4391691,0.7727120081265146,130.7817820658343,0.9564578481582973,0.5246649747749957,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.5167050288103834,neutral,1.0
internet-computer,ICP,1994288466,-0.28854830198683573,-0.3534916839493585,-0.13701374407428277,-58.851087562744,-58.851087562744,-75.75578338590957,6.301369863013699,0.1318058465555788,1673811.4028200002,12699067.959130334,0.1318058465555788,210.10031131096505,1.4083492924606695,0.8823176052566113,mexc,0.8325227172040748,0.8325227172040748,0.8325227172040748,3.5,500m_2b,0.0,0.0,-0.27302772402790504,neutral,1.0
ethereum-classic,ETC,1992588332,0.6183438241223069,0.6044274138752113,0.650815448032197,-41.52311876699909,-47.73095623987034,-66.30974144685295,0.273972602739726,0.308029406696535,1607048.908849999,5217193.144267666,0.308029406696535,71.00775193798448,1.4201039767964139,0.924347473431221,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.12784592092236496,neutral,1.0
aster-2,ASTER,1982601453,-0.16815619559539519,-0.27404553119195235,0.07891892079657153,-57.41397198685804,,,10.666666666666668,0.6748609439239253,79566.56014942857,117900.6740067,0.6748609439239253,160.93626621545405,0.6186748365566144,0.4176557142102998,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.059332176324464525,neutral,1.0
rain,RAIN,1930004029,2.170308481176516,2.899894870967681,0.4679402383304637,0.0,,,100.0,1.5645066978018582,7162517.983159229,4578131.875831923,1.5645066978018582,255.11261360144007,-0.4798619940631637,0.028091237261357756,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,1.567259607100123,neutral,1.0
