id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mom_7d_pct,mom_30d_pct,volume_mc_ratio,ath_drawdown_pct,z_mom7,z_mom30,z_vmc,z_dd,beta_pen,score_global,score_segment,z_slope,z_volacc,z_buzz_level,z_buzz_acc,z_buzz_combined,early_score
bittensor,TAO,2865975768.0,0.44796660428707347,0.5438946275765189,0.22413454994503415,-39.933601609657956,-39.933601609657956,-39.933601609657956,20.679012345679013,0.6454134642284404,1399658.0226857143,2168622.2867366667,0.6454134642284404,87.59672366285433,0.03959879592710523,0.030134095642725005,mexc,0.0,0.13168849275792494,0.13168849275792494,0.0,,,,,0,0,0,0,0.9825667771075425,0.0,0.0,0,0,0,0,0,0.16316838827295566
rain,RAIN,2597713683.0,1.6799114115748597,2.3259496035731115,0.17248896357893945,-5.188369528859371,,,91.30434782608695,0.8159728556310485,4589898.770559642,5625063.062924998,0.8159728556310485,254.3881986214163,-0.6594148214785807,-0.6446664554739493,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.6977848810719335
bitget-token,BGB,2531351984.0,0.5798544055346709,0.7187320432610568,0.25580658417310426,-36.52474685142072,-36.52474685142072,-55.27030683077425,7.123287671232877,0.8964257605753159,543190.9694161856,605951.98543555,0.8964257605753159,67.6993726149667,0.8402223936045876,0.4598002353660715,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.6749943427573353,0.0,0.0,0,0,0,0,0,0.21561961297831703
memecore,M,2473930404.0,0.1318631364875077,0.12161490917406519,0.15577566688554018,-48.16690923289908,-48.16690923289908,,48.4472049689441,0.5321375479742844,200624.8505889,377016.90352922666,0.5321375479742844,127.62237197201078,0.011488015252284624,-0.19658837415941186,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.036484472752219554
okb,OKB,2461437563.0,0.11920225715007027,0.10535856755998653,0.15150419952693234,-48.48386374315488,-48.8653799211912,-48.8653799211912,76.16438356164383,2.879289965713893,1346885.7682664285,467783.9968551,2.879289965713893,130.7817820658343,0.964296798600021,0.5310189657101311,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.6261710589224619,0.0,0.0,0,0,0,0,0,0.03160757026799596
near,NEAR,2299010242.0,0.31232424702670003,0.3586514711826964,0.20422739066270854,-43.54534005037783,-43.54534005037783,-74.10082334248158,1.643835616438356,0.745299188191597,515923.145615714,692236.2908613334,0.745299188191597,95.20590043023971,1.7534678740864278,1.0710479442423197,mexc,1.7780962291847922,1.9593461015948486,1.9593461015948486,3.176231497376173,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.10759544135480892
ethena,ENA,2119129000.0,-0.509081296582476,-0.7238675539515542,-0.007913362721293506,-64.6515209857528,-66.0,-78.21202531645571,10.41095890410959,0.7066524336083765,7756901.996419856,10976969.196597567,0.7066524336083765,234.23423423423424,1.9053579934705114,1.3071822301120342,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.21716026618546627
pepe,PEPE,2036307733.0,-0.3024756482536763,-0.4537229422398915,0.05043470438082589,-59.38443475343844,-65.82457130760002,-69.57914572864321,6.790123456790123,0.8598349335847172,185632.44679040415,215893.12034170137,0.8598349335847172,194.20182580804345,0.12859796055951428,0.042759774145259055,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9571605663238066,0.0,0.0,0,0,0,0,0,-0.13611688267196745
aster-2,ASTER,2003274181.0,-0.26494630947957987,-0.41562910849030743,0.08664688821211779,-58.64170845581877,,,9.63855421686747,0.6343466322761695,64357.32689842857,101454.51023756666,0.6343466322761695,160.93626621545405,0.12369385040005831,0.26482223573729496,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9028709784656617,0.0,0.0,0,0,0,0,0,-0.12468873254709223
internet-computer,ICP,1940896150.0,-0.3362086187569091,-0.49387635998312335,0.03168277743759077,-60.16731734523145,-60.16731734523145,-73.86563231850116,7.397260273972603,0.2618371600129694,1294962.5120214284,4945678.879030333,0.2618371600129694,210.10031131096505,1.3521559958558436,0.8569830788500985,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.148162907994937
pi-network,PI,1817604194.0,0.3778832822290203,0.4469772110482712,0.21666411498410157,-41.82322801024765,-65.60971762107587,-92.09718289946383,6.620209059233449,0.8803988283835706,49817.48629182857,56585.13469775334,0.8803988283835706,88.67126529379183,0.05265152846889637,0.024245410630635206,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9807757652251171,0.0,0.0,0,0,0,0,0,0.13409316331448135
pump-fun,PUMP,1802861891.0,-0.5112944323733392,-0.7237883549158849,-0.015475279774065594,-64.64997681965693,-64.64997681965693,,22.666666666666664,0.5938696301834024,4395056.66803895,7400709.591230726,0.5938696301834024,241.70297029702974,-0.004024129767473461,0.1134724046128948,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9726379312886446,0.0,0.0,0,0,0,0,0,-0.21713650647476546
ondo-finance,ONDO,1581452366.0,-0.10980348743954675,-0.20807198432435678,0.1194896719583433,-54.59490824689925,-56.137892376681606,-68.06774127729034,3.7151702786377707,0.8359799485126072,54050.06118435714,64654.73398079,0.8359799485126072,142.00987383433898,-0.2454026872333985,-0.07918519186089891,mexc,0.5414457464129785,0.5414457464129785,0.5414457464129785,3.5000000000000004,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.06242159529730703
htx-dao,HTX,1523320146.0,0.711020469511541,0.8942944234769891,0.2833812435921622,-33.10175725378014,-34.17772416566144,-38.6661671037842,6.027397260273973,0.9085478474012946,443780.4557741373,488450.28585283173,0.9085478474012946,51.893234016139054,0.4881516737282864,0.3179443199307785,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.7984760015852338,0.0,0.0,0,0,0,0,0,0.2682883270430967
kucoin-shares,KCS,1373608758.0,0.6555338807721344,0.8244305392259402,0.26144167771325405,-34.46391325068547,-34.46391325068547,-34.46391325068547,13.698630136986301,0.8578695307159517,474181.06134571426,552742.6308636667,0.8578695307159517,69.00699798115042,0.614632043558776,0.3990668663794265,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.7465752725154493,0.0,0.0,0,0,0,0,0,0.24732916176778205
kaspa,KAS,1354495875.0,0.30306328419700285,0.36261478982722517,0.16410977105981758,-43.46806610093792,-55.90105391516418,-62.84636609134672,6.790123456790123,0.6980402854583362,85240.86852423428,122114.54023497335,0.6980402854583362,135.05944725860212,0.18661339876706054,0.10698066747092437,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9266014834405037,0.0,0.0,0,0,0,0,0,0.10878443694816754
aptos,APT,1353945412.0,-0.5670071524934795,-0.8106303872867412,0.0014470620241310928,-66.34316059329792,-66.41695596564955,-87.07454289732772,1.36986301369863,0.8096880209781157,3030047.200477143,3742240.371565333,0.8096880209781157,219.35672514619884,1.4499806171560379,0.9073008266393232,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.24318911618602235
polygon-ecosystem-token,POL,1327934694.0,-0.14643176537367195,-0.26136880872760526,0.12175466911883906,-55.63405157188272,-56.5548253199585,-80.06032703603748,1.9178082191780823,0.664356985664244,2044834.9926582854,3077915.9951389665,0.664356985664244,136.31051752921536,1.4432007629425816,0.8734309630559584,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.07841064261828158
quant-network,QNT,1261322934.0,1.2343128337150215,1.6200691565425582,0.3342147471174365,-18.95112111830378,-35.98369766580214,-39.553596417576266,28.493150684931507,0.45582627547684784,693963.2723571431,1522429.2887266667,0.45582627547684784,48.889509708059784,1.1165266499916249,0.6842411920129864,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5498080394988472,0.0,0.0,0,0,0,0,0,0.4860207469627674
arbitrum,ARB,1234234350.0,-0.3181139356989069,-0.4802398208921323,0.06017979641861898,-59.90144186895419,-64.15986949429038,,12.76595744680851,0.8296176880126268,48337.798641,58265.149525433335,0.8296176880126268,182.860092927207,-0.06612529462615517,0.04020830502803379,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.1440719462676397
